from,to
717513,717510
717510,772596
717508,772597
772596,772151
772597,772178
772178,717504
772151,772168
717504,772167
772167,772140
772168,717502
717502,765099
772140,764781
765099,764794
764781,760024
764794,769431
760024,769430
769430,717499
769431,769443
717499,769444
769443,717498
717498,769358
769359,769444
769359,717495
717497,769358
717497,769346
769345,717495
769346,769467
717493,769345
769467,717492
773939,717492
717493,717570
717571,773939
717570,773880
773880,760987
717571,718496
718496,774204
774204,717572
760987,717573
717573,773869
717572,718499
773869,761003
718499,773906
761003,773904
773906,717576
773904,718204
717576,773954
718204,773953
773954,774067
773953,773916
773916,773927
773927,717578
774067,716554
717578,717580
716554,717582
717580,717583
717582,717099
717583,717585
717099,717590
717585,717587
717587,717592
717590,773975
717592,773974
773975,773996
773974,773995
773996,774012
773995,774011
774011,717595
717825,717823
767366,737529
737529,717821
717821,765273
717823,717819
765273,765265
717819,767351
765265,767350
767351,717818
767350,767053
767053,765171
765171,717816
763995,764120
716571,717610
764424,764120
764424,764106
717608,717610
717608,764101
765604,764106
764101,768066
765604,718141
768066,717490
718141,717491
717490,717489
717491,768469
717489,717488
764760,768469
717488,764766
764760,765176
764766,717486
765176,764949
717486,769405
764949,769418
769418,769402
769405,769403
769402,717483
769403,769388
769388,717481
717483,717480
717481,769373
717480,769372
769373,717472
769372,717473
717472,717468
717469,717473
717468,717466
717465,717469
717466,717462
717463,717465
717462,717461
717460,717463
717461,717458
717459,717460
717459,717456
717456,765164
716339,717458
765164,716337
716339,717453
716337,717452
717450,717453
717452,717447
717450,717446
717446,716331
717447,717445
716331,716328
717445,765182
716328,764853
764853,773024
773023,765182
773062,773024
773062,773023
759772,759772
773916,773916
773916,759772
716968,761604
773916,718090
761604,761599
718090,718379
718379,718089
761599,759602
716960,718089
759602,759591
716958,716960
759591,716956
716958,716955
716956,716953
716953,718371
718371,716951
716949,716955
716942,716951
716949,716943
716943,716941
716941,716939
718045,771667
772513,760650
771667,771673
771673,772669
760650,773012
772669,773013
773012,767750
767751,773013
769867,769926
769926,769941
769847,769831
769941,769953
769831,769819
769953,769806
769819,769806
767585,767470
718076,767471
767471,718072
767470,767455
718072,767454
767454,762329
762329,767621
767455,767620
767620,767572
767621,767573
767573,718066
767572,767554
718066,767542
767554,767541
767541,767523
767542,718064
767523,767509
767509,767494
718064,767495
767609,767585
767610,718076
767609,769831
767609,769926
769847,767610
767610,769941
773996,767470
767471,773995
773996,762329
767620,773995
767471,717590
717587,767470
767454,717587
767455,717590
773953,718090
773954,761599
761599,717578
716554,718090
718064,716956
718064,716949
717571,765604
764101,717570
717493,768066
718141,769467
765171,765099
772140,717818
764794,717818
765171,760024
772140,717816
769431,717816
716953,767494
767495,716955
767750,716951
716949,767751
760650,716949
718045,765182
764853,772513
773023,772513
718045,773024
