from,to
717510,717513
772596,717510
717508,772597
772151,772596
772597,772178
772178,717504
772168,772151
717504,772167
772167,772140
717502,772168
765099,717502
772140,764781
764794,765099
764781,760024
769431,764794
760024,769430
769430,717499
769443,769431
717499,769444
717498,769443
769358,717498
769444,769359
769359,717495
717497,769358
769346,717497
717495,769345
769467,769346
769345,717493
717492,769467
773939,717492
717493,717570
717571,773939
717570,773880
773880,760987
718496,717571
774204,718496
717572,774204
760987,717573
717573,773869
718499,717572
773869,761003
773906,718499
761003,773904
717576,773906
773904,718204
773954,717576
718204,773953
774067,773954
773953,773916
773916,773927
773927,717578
716554,774067
717578,717580
717582,716554
717580,717583
717099,717582
717583,717585
717590,717099
717585,717587
717587,717592
773975,717590
717592,773974
773996,773975
773974,773995
774012,773996
773995,774011
774011,717595
717823,717825
767366,737529
737529,717821
717821,765273
717819,717823
765273,765265
767351,717819
765265,767350
717818,767351
767350,767053
767053,765171
765171,717816
764120,763995
716571,717610
764424,764120
764106,764424
717610,717608
717608,764101
765604,764106
764101,768066
718141,765604
768066,717490
717491,718141
717490,717489
768469,717491
717489,717488
764760,768469
717488,764766
765176,764760
764766,717486
764949,765176
717486,769405
769418,764949
769402,769418
769405,769403
717483,769402
769403,769388
769388,717481
717480,717483
717481,769373
769372,717480
769373,717472
717473,769372
717472,717468
717469,717473
717468,717466
717465,717469
717466,717462
717463,717465
717462,717461
717460,717463
717461,717458
717459,717460
717456,717459
765164,717456
717458,716339
716337,765164
716339,717453
717452,716337
717453,717450
717447,717452
717450,717446
717446,716331
717445,717447
716331,716328
765182,717445
716328,764853
764853,773024
773023,765182
773024,773062
759772,773916
761604,716968
773916,718090
761599,761604
718090,718379
718379,718089
759602,761599
718089,716960
759591,759602
716960,716958
716956,759591
716958,716955
716953,716956
718371,716953
716951,718371
716955,716949
716942,716951
716949,716943
716943,716941
716941,716939
718045,771667
760650,772513
771667,771673
771673,772669
773012,760650
772669,773013
767750,773012
773013,767751
769926,769867
769941,769926
769847,769831
769953,769941
769831,769819
769819,769806
767470,767585
718076,767471
767471,718072
767455,767470
718072,767454
767454,762329
762329,767621
767620,767455
767572,767620
767621,767573
767573,718066
767554,767572
718066,767542
767541,767554
767523,767541
767542,718064
767509,767523
767494,767509
718064,767495
767585,767609
767610,718076
767609,769831
767609,769926
769847,767610
769941,767610
773996,767470
767471,773995
773996,762329
767620,773995
767471,717590
717587,767470
717587,767454
767455,717590
773953,718090
761599,773954
761599,717578
716554,718090
718064,716956
718064,716949
717571,765604
764101,717570
717493,768066
718141,769467
765171,765099
772140,717818
764794,717818
765171,760024
772140,717816
769431,717816
716953,767494
767495,716955
767750,716951
716949,767751
716949,760650
718045,765182
764853,772513
773023,772513
718045,773024
